"City","Restaurant","Wine Name","Region","State","Country","Wine Type","Body","Brand","Producer","Varietal","Taste Profile","Typical Vintage","Price","Sources","is_wine","wine_name","producer","vintage","varietal","body","region","country","price"
"Austin","Nido","CENTRAL COAST CHARDONNAY Donnachadh Estate  Santa Rita Hills, 2019   155","Central Coast","California","USA","Chardonnay","Medium","Donnachadh Estate","Donnachadh Estate","Chardonnay","Crisp, fruity with hints of apple and pear","2019","155","Restaurant Wine List",,,,,,,,,
"Austin","Nido","NEW ZEALAND Pyramid Valley Chardonnay, Cantebury, New Zealand, 2018   115","Cantebury","","New Zealand","Chardonnay","Medium","Pyramid Valley","Pyramid Valley","Chardonnay","Citrus, Apple, Mineral","2018","115","Restaurant Wine List","yes","Pyramid Valley Chardonnay","Austin Nido","2018","Chardonnay","Medium","Cantebury","New Zealand","115"
"Austin","Nido","Gladstone “Urlar” Sauvignon Blanc, New Zealand, 2019   72","Gladstone","","New Zealand","Sauvignon Blanc","Light","Urlar","Urlar","Sauvignon Blanc","Crisp, Fruity, Dry","2019","72","Restaurant Wine List","yes","Austin Nido Gladstone “Urlar” Sauvignon Blanc","Urlar","2019","Sauvignon Blanc","Light","Gladstone","New Zealand","72"
"Austin","Nido","De Forville Ca’ del Buc’ Chardonnay Piedmont 2023   68","Piedmont","Texas","USA","Chardonnay","Medium","De Forville Ca’ del Buc’","De Forville","Chardonnay","Fruity and Crisp","2023","68","Restaurant Wine List",,,,,,,,,
"Austin","Nido","OTHER ITALIAN Nels Margreid Hill Pinot Grigio Alto Adige, 2021   80","Alto Adige","","Italy","Pinot Grigio","Light","Nels Margreid Hill","Nels Margreid Hill","Pinot Grigio","Crisp and fruity with a hint of pear and apple","2021","80","Direct from vineyard","yes","Nels Margreid Hill Pinot Grigio","Austin Nido","2021","Pinot Grigio","Light","Alto Adige","Italy","80"
"Austin","Nido","Mosole Pinot Grigio Venezia, 2023                                                                       90","Venezia","Texas","Italy","Pinot Grigio","Light","Mosole","Mosole","Pinot Grigio","Crisp and fruity","2023","","Restaurant wine list","yes","Austin Nido Mosole Pinot Grigio Venezia","Mosole","2023","Pinot Grigio","Light","Venezia","Italy","Not mentioned"
"Austin","Nido","GERMANY Weingut Spreitzer, Estate Trocken Riesling, Rheingau 2020                                70","Rheingau","Texas","GERMANY","Riesling","Light","Weingut Spreitzer","Weingut Spreitzer","Riesling","Crisp, Mineral, Apple, Citrus","2020","70","Restaurant Wine List",,,,,,,,,
"Austin","Nido","JJ Prüm “Wehlener Sonnenuhr” Kabinett  Riesling, Mosel 2018   129","Mosel","Texas","Germany","Riesling","Light","JJ Prüm","JJ Prüm","Riesling","Fruity and Sweet","2018","129","","yes","Austin Nido JJ Prüm “Wehlener Sonnenuhr” Kabinett Riesling","JJ Prüm","2018","Riesling","Light","Mosel","Germany","129"
"Austin","Nido","Meulenhof “Wehleer Sonnenuhr” Auslese  Riesling, Mosel 2018   78","Mosel","Texas","Germany","Riesling","Medium","Meulenhof","Meulenhof","Riesling","Fruity and Sweet","2018","78","","yes","Austin Nido Meulenhof “Wehleer Sonnenuhr” Auslese Riesling","Meulenhof","2018","Riesling","Medium","Mosel","Germany","78"
"Austin","Nido","AUSTRIA Weixelbaum “Wahre Werte” Pinot Blanc Niederösterrich 2022   75","Niederösterrich","Texas","AUSTRIA","Pinot Blanc","Medium","Weixelbaum","Weixelbaum","Pinot Blanc","Fruity and Crisp","2022","75","Restaurant Wine List",,,,,,,,,
"Austin","Nido","Nigl “Piri” Trocken Riesling Kremstal 2017   68","Kremstal","Texas","Austria","White","Medium","Nigl","Nigl","Riesling","Dry, Crisp, Citrus, Mineral","2017","68","Winery Direct",,,,,,,,,
"Austin","Nido","HALF BOTTLE Lucien Crochet  Sauvignon Blanc Sancerre  2022  72","Sancerre","Texas","France","Sauvignon Blanc","Light","Lucien Crochet","Lucien Crochet","Sauvignon Blanc","Crisp and Fruity","2022","72","Nido Restaurant Wine List",,,,,,,,,
"Austin","Nido","OTHER FRANCE Le Puy Marie-Cécile  Sauvingnon Blanc Bordeaux Blanc 2022  235","Bordeaux","Texas","France","Bordeaux Blanc","Medium","Le Puy Marie-Cécile","OTHER FRANCE","Sauvignon Blanc","Crisp, Citrus, Light-bodied","2022","235","Winery Direct",,,,,,,,,
"Austin","Nido","Valentin Morel  Les Pieds sur Terre  Chardonnay  Les Trouillots   Jura 2019  135","Jura","Texas","USA","Chardonnay","Medium","Valentin Morel Les Pieds sur Terre","Valentin Morel","Chardonnay","Fruity and Crisp","2019","135","Restaurant Wine List",,,,,,,,,
"Austin","Nido","ALSACE Trimbach Grand Cru “Schlossberg”  Riesling,  2019   240","ALSACE","Texas","USA","Riesling","Medium","Trimbach Grand Cru “Schlossberg”","Trimbach","Riesling","Dry, Crisp, Mineral","2019","240","Restaurant Wine List",,,,,,,,,
"Austin","Nido","Trimbach “ Reserve”  Pinot Gris,  2017   95","Alsace","Grand Est","France","Pinot Gris","Medium-bodied","Trimbach","Maison Trimbach","Pinot Gris","Fruity and Spicy","2017","95","Wine-Searcher",,,,,,,,,
"Austin","Nido","Domaine Valentin Zusslin “ Schild” Riesling,  2020   90","Alsace","Grand Est","France","Riesling","Medium","Domaine Valentin Zusslin","Domaine Valentin Zusslin","Riesling","Fruity and Dry","2020","90","Winery Direct",,,,,,,,,
"Austin","Nido","Domaine Weinbach Riesling, 2020   78","Alsace","Grand Est","France","Riesling","Medium","Domaine Weinbach","Domaine Weinbach","Riesling","Dry, Fruity, Crisp","2020","78","Winery Direct",,,,,,,,,
"Austin","Nido","California re ds CABERNET Cakebread, Napa 2021                                               220","Napa","California","United States","Red","Full","Cakebread","Cakebread Cellars","Cabernet","Rich and fruity with notes of blackcurrant, plum, and vanilla","2021","220","Winery Direct",,,,,,,,,
"Austin","Nido","MERLOT Keenan Estate Napa 2006   250","Napa","California","USA","Merlot","Medium","Keenan Estate","Keenan Estate","Merlot","Fruity, with notes of plum and black cherry","2006","250","Keenan Estate Vineyards",,,,,,,,,
"Austin","Nido","MAGNUM Keenan Estate Merlot Napa 2000   450","Napa","California","USA","Merlot","Medium","MAGNUM Keenan Estate","Keenan Winery","Merlot","Fruity with hints of plum, black cherry and cedar","2000","450","Winery Direct",,,,,,,,,
"Austin","Nido","CABERNET FRANC Favia “Cerro Sur”, 2015   595","Napa Valley","California","USA","CABERNET FRANC","Full","Favia","Cerro Sur","Cabernet Franc","Rich, fruity, with notes of black cherry and spice","2015","595","Winery Direct",,,,,,,,,
"Austin","Nido","PINOT NOIR Au Bon Climat “Runway Vineyard” Santa Maria Valley  2020   145","Santa Maria Valley","California","USA","PINOT NOIR","Medium","Au Bon Climat","Au Bon Climat","PINOT NOIR","Fruity, Earthy, Lightly Spiced","2020","145","Direct from Winery",,,,,,,,,
"Austin","Nido","Failla Pinot Noir Sonoma Coast  2023   105","Sonoma Coast","California","USA","Red","Medium","Failla","Failla","Pinot Noir","Fruity, Earthy, Light Tannin","2023","105","Winery Direct",,,,,,,,,
"Austin","Nido","Other New World reds OREGON PINOT NOIR Evening Land “Seven Springs”, Eola-Amity Hills, Willamette Valley 2022   140","Eola-Amity Hills, Willamette Valley","Oregon","USA","Pinot Noir","Medium","Evening Land","Evening Land Vineyards","Pinot Noir","Fruity, Earthy, Light Tannin","2022","140","Restaurant Wine List",,,,,,,,,
"Austin","Nido","Roserock, Eola-Amity Hills, Willamette Valley  2023   105","Eola-Amity Hills","Oregon","USA","Red","Medium","Roserock","Drouhin Oregon Roserock","Pinot Noir","Fruity, Earthy, Spicy","2023","105","Wine Enthusiast",,,,,,,,,
"Austin","Nido","HALF BOTTLE Siduri Pinot Noir Willamette Valley  2021   55","Willamette Valley","Oregon","USA","Pinot Noir","Medium","Siduri","Siduri","Pinot Noir","Fruity, Earthy, Light Tannin","2021","55","","yes","Austin Nido HALF BOTTLE Siduri Pinot Noir","Siduri","2021","Pinot Noir","Medium","Willamette Valley","USA","55"
"Austin","Nido","Chacra Barda Pinot Noir Patagonia Argentina 2021   110","Patagonia","Texas","Argentina","Pinot Noir","Medium","Chacra Barda","Bodega Chacra","Pinot Noir","Fruity and Spicy","2021","110","Wine-Searcher",,,,,,,,,
"Austin","Nido","MEXICO Solar Fortun “O Positivo” Cabernet-Syrah, Valle de Guadalupe  2020   100","Valle de Guadalupe","Baja California","MEXICO","Red","Full","Solar Fortun","Solar Fortun","Cabernet-Syrah","Fruity, Spicy, Full-bodied","2020","100","Winery Direct",,,,,,,,,
"Austin","Nido","Palafox Pionero Tempranillo Blend Valle de Guadalupe  2022   85","Valle de Guadalupe","Baja California","Mexico","Red","Medium","Palafox Pionero","Palafox Pionero","Tempranillo Blend","Fruity, Spicy, Medium-bodied","2022","85","Winery Direct",,,,,,,,,
"Austin","Nido","Monte Xanic “Ricardo” Cabernet Sauvignon, Baja California 2021   155","Baja California","Baja California","Mexico","Cabernet Sauvignon","Full","Monte Xanic","Monte Xanic","Cabernet Sauvignon","Rich and fruity with notes of blackcurrant, plum, and vanilla","2021","155","Direct from winery",,,,,,,,,
"Austin","Nido","AUSTRALIA | NEW ZEALAND | SOUTH AFRICA Moorooduc Estate Pinot Noir, Mornington Peninsula, Australia 2018   115","Mornington Peninsula","Victoria","Australia","Pinot Noir","Medium","Moorooduc Estate","Moorooduc Estate","Pinot Noir","Fruity, Earthy, Light Tannin","2018","115","","yes","Moorooduc Estate Pinot Noir","Moorooduc Estate","2018","Pinot Noir","Medium","Mornington Peninsula Victoria","Australia","115"
"Austin","Nido","Tolpuddle Pinot Noir, Tasmania, Australia 2021   200","Tasmania","","Australia","Pinot Noir","Medium","Tolpuddle","Tolpuddle Vineyard","Pinot Noir","Fruity, Earthy, Medium-bodied","2021","200","Winery Direct","yes","Austin Nido Tolpuddle Pinot Noir","Tolpuddle","2021","Pinot Noir","Medium","Tasmania","Australia","200"
"Austin","Nido","Farm To Table Cabernet Sauvignon, Victoria, Austrailia 2019                              68","Victoria","","Australia","Cabernet Sauvignon","Full","Farm To Table","Farm To Table","Cabernet Sauvignon","Blackcurrant, Cherry, Spice","2019","68","Restaurant Wine List","yes","Austin Nido Farm To Table Cabernet Sauvignon","Austin Nido","2019","Cabernet Sauvignon","Full","Victoria","Australia","68"
"Austin","Nido","Pyramid Valley Pinot Noir Otango Valley New Zealand 2018   145","Otango Valley","","New Zealand","Pinot Noir","Medium","Pyramid Valley","Pyramid Valley","Pinot Noir","Fruity, Earthy, Spicy","2018","145","Winery Direct","yes","Austin Nido Pyramid Valley Pinot Noir","Pyramid Valley","2018","Pinot Noir","Medium","Otango Valley","New Zealand","145"
"Austin","Nido","Trimbach Pinot Noir Réserve Alsace  2017   180","Alsace","Texas","France","Red","Medium","Trimbach","Trimbach","Pinot Noir","Fruity and Spicy","2017","180","Winery Direct",,,,,,,,,
"Austin","Nido","ANCIENT REGIONS Chateau Musar Cabernet, Bekka Valley, Lebannon 2003   310","Bekka Valley","","Lebannon","Red","Full-bodied","ANCIENT REGIONS Chateau Musar Cabernet","Chateau Musar","Cabernet Sauvignon","Ripe black fruits, spices, and earthy notes","2003","310","","yes","ANCIENT REGIONS Chateau Musar Cabernet","Austin Nido","2003","Cabernet Sauvignon","Full-bodied","Bekka Valley","Lebannon","310"
"Austin","Nido","Movia Cabernet Sauvignon, Brda, Slovenia, 2019   80","Brda","","Slovenia","Red","Full","Movia","Movia","Cabernet Sauvignon","Fruity, Dry","2019","80","Winery Direct","yes","Austin Nido Movia Cabernet Sauvignon","Movia","2019","Cabernet Sauvignon","Full","Brda","Slovenia","80"
"Austin","Nido","Bordeaux & Loire reds BORDEAUX LEFT BANK Château Montrose 2éme Cru, Saint-Estèphe 2014   375","Bordeaux Left Bank","Texas","France","Red","Full-bodied","Château Montrose","Château Montrose","Cabernet Sauvignon blend","Dark fruit, earthy, spicy","2014","","Château Montrose official website","yes","Château Montrose 2éme Cru, Saint-Estèphe","Château Montrose","2014","Cabernet Sauvignon blend","Full-bodied","Bordeaux Left Bank","France",
"Austin","Nido","BORDEAUX RIGHT BANK Closerie Saint-Roc Les Noyers  Bordeaux  2015   230","BORDEAUX RIGHT BANK","Texas","France","Red","Full","Closerie Saint-Roc Les Noyers","Closerie Saint-Roc","Bordeaux Blend","Fruity, Tannic, Medium-bodied","2015","230","","yes","Austin Nido BORDEAUX RIGHT BANK Closerie Saint-Roc Les Noyers","Closerie Saint-Roc","2015","Bordeaux Blend","Full","BORDEAUX RIGHT BANK","France","230"
"Austin","Nido","Closerie du Pelan Francs-Côtes-de-Bordeaux  1999   180","Francs-Côtes-de-Bordeaux","Texas","France","Red","Medium","Closerie du Pelan","Closerie du Pelan","Merlot","Fruity and Spicy","1999","180","","yes","Austin Nido Closerie du Pelan Francs-Côtes-de-Bordeaux","Closerie du Pelan","1999","Merlot","Medium","Francs-Côtes-de-Bordeaux","France","180"
"Austin","Nido","Le Puy “Emilien” Francs-Côtes-de-Bordeaux  2019   185","Francs-Côtes-de-Bordeaux","Texas","France","Red","Medium","Le Puy","Emilien","Merlot","Fruity and Spicy","2019","185","Winery Direct",,,,,,,,,
"Austin","Nido","Le Puy  “Barthélemy”  Francs-Côtes-de-Bordeaux 2001| 1994   1200 | 1500","Francs-Côtes-de-Bordeaux","Texas","France","Red","Full","Le Puy “Barthélemy”","Château le Puy","Merlot","Rich, Dark Fruit, Earthy","2001|1994","1200|1500","","yes","Le Puy “Barthélemy”","Château le Puy","2001","Merlot","Full","Francs-Côtes-de-Bordeaux","France","1200|1500"
"Austin","Nido","LOIRE Catherine & Pierre Breton Cabernet Franc “La Dilettante”, Bourgueil  2022   110","Bourgueil","Texas","France","Red","Medium","Catherine & Pierre Breton","Catherine & Pierre Breton","Cabernet Franc","Fruity and Spicy","2022","110","","yes","Austin Nido LOIRE Catherine & Pierre Breton Cabernet Franc “La Dilettante”","Catherine & Pierre Breton","2022","Cabernet Franc","Medium","Bourgueil","France","110"
"Austin","Nido","Château Yvonne “La Folie” Cabernet Franc, Saumur-Champigny  2022   100","Saumur-Champigny","Texas","France","Cabernet Franc","Medium","Château Yvonne","Château Yvonne","Cabernet Franc","Fruity and Spicy","2022","100","Restaurant Wine List",,,,,,,,,
"Austin","Nido","Arnaud Lambert “Terres Rouges” Cabernet Franc, Saumur-Champigny  2021   75","Saumur-Champigny","Texas","France","Cabernet Franc","Medium","Arnaud Lambert","Arnaud Lambert","Cabernet Franc","Fruity, with notes of blackcurrant and raspberry, and a hint of bell pepper","2021","","Direct from vineyard","yes","Austin Nido Arnaud Lambert “Terres Rouges” Cabernet Franc","Arnaud Lambert","2021","Cabernet Franc","Medium","Saumur-Champigny","France","75"
"Austin","Nido","Les Athelètes du Vin Cabernet Franc Chinon   2020   78","Chinon","Texas","France","Red","Medium","Les Athelètes du Vin","Les Athelètes du Vin","Cabernet Franc","Fruity and Spicy","2020","78","","yes","Austin Nido Les Athelètes du Vin Cabernet Franc Chinon","Les Athelètes du Vin","2020","Cabernet Franc","Medium","Chinon","France","78"
"Austin","Nido","Remoortere Pinot Noir Menetou-Salon   2022   95","Menetou-Salon","Texas","France","Red","Medium","Remoortere","Remoortere","Pinot Noir","Fruity and Spicy","2022","95","Nido Restaurant",,,,,,,,,
"Austin","Nido","Paul Prieur et Fils Les Pichons Pinot Noir Sancerre   2021   145","Sancerre","Texas","USA","Pinot Noir","Medium","Paul Prieur et Fils Les Pichons","Paul Prieur et Fils","Pinot Noir","Fruity","2021","145","","yes","Austin Nido Paul Prieur et Fils Les Pichons Pinot Noir Sancerre","Paul Prieur et Fils","2021","Pinot Noir","Medium","Sancerre","USA","145"
"Austin","Nido","MAGNUM Catherine & Pierre Breton Cabernet Franc Trinch!  Bourgueil  2022   170","Bourgueil","Texas","USA","Red","Medium","MAGNUM Catherine & Pierre Breton","Catherine & Pierre Breton","Cabernet Franc","Fruity and Spicy","2022","170","Restaurant Wine List",,,,,,,,,
"Austin","Nido","Domaine Rougeot Clos de Roses  Pommard  2021   205","Pommard","Texas","France","Red","Medium","Domaine Rougeot Clos de Roses","Domaine Rougeot","Pinot Noir","Fruity, Earthy, Medium-bodied","2021","205","","yes","Austin Nido Domaine Rougeot Clos de Roses Pommard","Domaine Rougeot","2021","Pinot Noir","Medium","Pommard","France","205"
"Austin","Nido","Italian reds BAROLO Brovia Brea vigna ca’mia  Barolo 2019   350","Barolo","Texas","Italy","Red","Full","Brovia Brea vigna ca’mia","Brovia","Nebbiolo","Complex, with flavors of cherry, rose, licorice, and truffles","2019","350","Nido Restaurant Wine List",,,,,,,,,
"Austin","Nido","Paolo Scavino Ravera  Barolo 2017   195","Ravera","Texas","Italy","Barolo","Full-bodied","Paolo Scavino","Paolo Scavino","Nebbiolo","Rich, complex, with notes of cherry, plum, and spice","2017","195","Winery Direct",,,,,,,,,
"Austin","Nido","Oddero Vignarionda Riserva  Barolo 2016   600","Barolo","Texas","Italy","Red","Full","Oddero","Oddero","Nebbiolo","Dry","2016","600","","yes","Austin Nido Oddero Vignarionda Riserva Barolo","Oddero Oddero","2016","Nebbiolo","Full","Barolo","Italy","600"
"Austin","Nido","Bava Scarrone  Barolo 2013   220","Piedmont","Piedmont","Italy","Red","Full-bodied","Bava","Bava","Nebbiolo","Rich, complex, and tannic with flavors of cherry, rose, and licorice","2013","220","Winery Direct",,,,,,,,,
"Austin","Nido","Chiara Boschis Via Nuova  Barolo 2019   260","Barolo","Texas","Italy","Red","Full","Chiara Boschis","Chiara Boschis","Nebbiolo","Rich and complex with notes of red fruit, spice, and earthy undertones","2019","260","Winery Direct",,,,,,,,,
"Austin","Nido","Elio Altare Cerretta  Barolo Riserva 2017   300","Piedmont","Texas","USA","Red","Full-bodied","Elio Altare Cerretta","Elio Altare","Barolo Riserva","Rich, complex, with notes of red fruit, spice, and leather","2017","300","Winery Direct",,,,,,,,,
"Austin","Nido","MAGNUM Elio Altare Nebbiolo Barolo 2020   325","Barolo","Texas","Italy","Red","Full","MAGNUM Elio Altare","Elio Altare","Nebbiolo","Fruity, Spicy, Floral","2020","325","","yes","Austin Nido MAGNUM Elio Altare Nebbiolo Barolo","Elio Altare","2020","Nebbiolo","Full","Barolo","Italy","325"
"Austin","Nido","Poggio delle Rose Riserva, Chianti Classico  2010   250","Chianti Classico","Texas","Italy","Red","Full","Poggio delle Rose","Poggio delle Rose","Sangiovese","Fruity, Spicy, Medium Tannins","2010","250","Winery Direct",,,,,,,,,
"Austin","Nido","Frapin Fontpinot X.O. 35","Grande Champagne","Texas","France","Cognac","Full-bodied","Frapin","Frapin","Ugni Blanc","Rich, Spicy, Fruity","35 years","","","no",,,,,,,,
